y,yhat,yhat_baseline
-0.20320697690833592,0.011151924696015746,0.02100567468071563
-0.21203220828423114,0.010287388549004366,0.020031660159400055
-0.21116356984301685,0.009199901419470252,0.0187878891220256
-0.21643847821281226,0.007786937289542634,0.017172304400295532
-0.2157600765363358,0.005951660890206045,0.015099110791675197
-0.21178164620346376,0.003617264665211166,0.012501034860218209
-0.20686836534880015,0.0007440137276060726,0.00936459159797252
-0.20086756800276234,-0.0026752901511661003,0.005656405032435402
-0.1949879555634077,-0.0066122555936886955,0.0014060059363583653
-0.184958635717666,-0.010996857767511735,-0.003320173604969055
-0.17410272965302473,-0.015732652047052837,-0.008429998099564944
-0.1653912256094859,-0.02068533748947642,-0.013791568754411484
-0.15480346414356927,-0.025691698034912083,-0.01922319846694454
-0.15193714495838603,-0.030565428973652938,-0.024534886088869973
-0.14293039459536916,-0.035127924039507895,-0.02955162215624378
-0.1271052012284084,-0.03922570953684984,-0.03410420717314261
-0.12082252532310189,-0.04272983386964856,-0.038082385922185054
-0.10517794803032421,-0.04553144175375519,-0.04140004574570176
-0.09690390904109,-0.047504599197937904,-0.04391104011711982
-0.0870825815144617,-0.04852549214926954,-0.0454870167722565
-0.07751599621782176,-0.048492793033393836,-0.0460218282053368
-0.06480296439427481,-0.04735733100789672,-0.045468736272594464
-0.050028579905486564,-0.045161207069469696,-0.04386275792923138
-0.03808022208143891,-0.04202276515274197,-0.04132307034408249
-0.023386557950498536,-0.03811911467074937,-0.03802460889250098
-0.01503596064914916,-0.03364034049841013,-0.03414567209870362
-0.0017384870644183846,-0.028757283357104486,-0.029851106666680078
0.008593248699595865,-0.023645985663404243,-0.02534066053863188
0.02151837305838724,-0.018501788960656927,-0.020804193799937393
0.02955279821285244,-0.013519543333725952,-0.016432424731078612
0.04348913271243732,-0.008857765899367143,-0.012399992359442863
0.06097356182019982,-0.004678800784765667,-0.008855603184538837
0.06901987245179297,-0.0011487591528051265,-0.0059267404608382805
0.0812010224517123,0.0015995323812278723,-0.0037751866089131346
0.09721175652145059,0.003438381173016427,-0.0025259968250465436
0.10789494295354901,0.0042576575967996815,-0.002300807289544379
0.12444758325063798,0.003982426657476229,-0.003183156378399032
0.1265486959656798,0.002593960624969105,-0.00519649288366285
0.14330397350261784,0.00012507106720763194,-0.008304072258005097
0.15374581612530677,-0.003341770419927297,-0.012428019760904258
0.16026970667614168,-0.00769860405127431,-0.017456149038199406
0.17687304264075762,-0.012802649389656378,-0.02324326866038
0.18233318091603648,-0.01849631638996483,-0.029626599140893637
0.1960670748660224,-0.02462589085288205,-0.036453553039467686
0.20661806588664414,-0.03102686147980287,-0.043543033106257074
0.21524118167837175,-0.03753730157160155,-0.050694433772514744
0.21943938898862456,-0.044013313120139806,-0.0577742600483296
0.22807019317367364,-0.050342013557196266,-0.06466266600510003
0.2328224354758142,-0.05640457882712682,-0.07122837210040432
0.24229390627028163,-0.062088183928054284,-0.07734336557125784
0.24837592166583183,-0.0673157366448407,-0.08291131705219262
0.2497524937060851,-0.07201228080490264,-0.08786926903723562
0.25410662491169345,-0.07612234606790576,-0.09215508351973097
0.25491898439430527,-0.07963937647340433,-0.09576693770302652
0.2522101003017052,-0.08260728874613386,-0.0987356143603301
0.25238321731615415,-0.0851213585188969,-0.10116562020644217
0.24785024879065015,-0.08727403117519006,-0.10315157415275668
0.23698471873133856,-0.08919170100344331,-0.10482768537870603
0.23295637872134953,-0.09103580462671705,-0.10635563630861052
0.22097551483272554,-0.09295042778259288,-0.10789636145302506
0.20665635859365294,-0.09505850759249275,-0.10958804301821626
0.19050192868349783,-0.09750282518758673,-0.1115760056579751
0.17513272029154925,-0.10040914690515626,-0.11400585892016497
0.15414829739448807,-0.10386087991981977,-0.11697512904151787
0.12969148096556724,-0.10790785399267205,-0.12054262107251038
0.1102838773644554,-0.11255663722741326,-0.12473101926571727
0.08314155974682075,-0.11778639611307928,-0.12953046033753698
0.057264300522936934,-0.12354608146468832,-0.13489782283772703
0.03052430346409526,-0.12977304550898178,-0.14080972900966934
0.0062438900406763965,-0.136408022319904,-0.1471672408351717
-0.02517068240356945,-0.14337374482083212,-0.1538533676642201
