y,yhat,yhat_baseline
-0.31190382933255206,-0.02819612717871519,-0.03334855839280869
-0.30287740186352646,-0.029362161858645847,-0.03509498788964856
-0.29223760050421577,-0.030489193848609295,-0.036752470387217524
-0.27966130832433733,-0.031584498085539314,-0.03831396373641661
-0.2636944896768491,-0.03266976966919958,-0.03978853678712467
-0.25558605831921466,-0.03374613233887158,-0.041168538746509664
-0.2373270175533517,-0.03480002031645991,-0.04243084519110259
-0.22298986393282527,-0.03582621422300787,-0.04356539900353294
-0.20609007470460444,-0.03677674468762912,-0.04452269218175126
-0.1848470097789613,-0.03757714034769454,-0.04523069388846582
-0.15641875187564963,-0.03815685364062011,-0.04563088970859074
-0.13428164885339142,-0.03844029477890602,-0.04565357804849741
-0.10736307127518303,-0.038356841576212955,-0.045234953269048285
-0.07207271109002564,-0.037853377421987106,-0.04429028012751025
-0.03662892245680883,-0.036880504831406785,-0.04280918179499076
-0.0006924758711163014,-0.0353955809253287,-0.040751895672345544
0.04102664449048108,-0.033399073472594326,-0.03813533788476236
0.08384870564149172,-0.030895267209958114,-0.03496577385449348
0.12689115263489073,-0.02789664982673021,-0.03127361593318405
0.17566296734004974,-0.02443720706782242,-0.027128319924064233
0.21421881404374074,-0.020564573168037514,-0.022571071005044782
0.2628134369417836,-0.016316711231221047,-0.01767931391300518
0.3061331944828514,-0.011764831097555786,-0.012530729781755876
0.35218823897235596,-0.006993186645608978,-0.007225773124723535
0.3914778190007698,-0.002081992345406501,-0.001846613222041925
0.43157989002822555,0.0029194035309758784,0.0035563640481084176
0.47434448174137844,0.007986554728793352,0.00896530707641364
0.5119125897212735,0.013127571801409263,0.014404379236340442
0.5419705315893478,0.01836032553647738,0.019913586384341427
0.5736825231464058,0.023674988032908788,0.025508523732826447
0.5970743059690836,0.029043365512290743,0.031187046090910046
0.6215498862944567,0.034439689421648524,0.0369454263582946
0.6373851264435053,0.039838409968231826,0.042779653973767644
0.6530621282259942,0.04517201992271442,0.048646438259674456
0.6596501846398766,0.05034148645848613,0.05445855786326599
0.668624764334238,0.055242707875800184,0.06012431178758534
0.6680663730550379,0.0597661249055731,0.06553486309540968
0.6667670487655808,0.06382889660334232,0.07060462308854948
0.654802004000566,0.06735608092257275,0.07525020760476715
0.6446825614443191,0.07026978245469982,0.07935327421561222
0.6308718492772023,0.07253056073948519,0.08289541814163161
0.6142166414127136,0.07410895553085596,0.08581440831123689
0.5937710461945801,0.07500427011651516,0.08809400998097883
0.5676937611743644,0.07523466540677391,0.08970880549298618
0.5404334080836576,0.07487342793867148,0.0907321383995188
0.514359889723709,0.07398175756898132,0.09119839566668901
0.48430083580447564,0.07262708191670572,0.09113007504280474
0.4588616904797113,0.07089597188808443,0.0905689770333139
0.43304499238630884,0.06886296630247936,0.0895736157817535
0.40384439758418195,0.06659955088613843,0.0881997044851195
0.3834377237014096,0.06417415177055119,0.0864985240924279
0.3559325529681373,0.061639664132058236,0.08450753721479701
0.3370682338114092,0.05903329950561637,0.08225242224273223
0.3120619811185613,0.05632863104764015,0.07969625455888696
0.2941722097026993,0.05344978097469189,0.0767630127422737
0.2782555240564005,0.05032611131669701,0.07334098231331132
0.2596125200042683,0.04690976016953907,0.06940986837724847
0.2389859081181104,0.04312720489824061,0.06490771630464415
0.21860802673348534,0.03885087279856451,0.0597143705260403
0.1960931367093151,0.03393074964302805,0.05372621635212582
0.17425266058964115,0.028241367997289536,0.04678876520100449
0.14583471062995496,0.02169139821290687,0.03881182885779662
0.12352425758123663,0.014252837063258432,0.029774685941609667
0.0892802267604272,0.005987840585234156,0.019756255157105676
0.06080993249934072,-0.0029616092210048997,0.008917134005174746
0.023581937895746544,-0.01242514888737335,-0.002558883848645586
-0.014372782298953493,-0.022242200621347498,-0.014494721916482076
-0.05356510778083927,-0.032234851246800054,-0.026655848493965847
-0.09314320330466148,-0.042215340366857736,-0.038825302045056694
-0.13716549906661235,-0.05201339285128666,-0.05081386451252154
-0.17729833703146772,-0.06144986408290382,-0.062406510540287105
-0.22694524740641006,-0.07036018175782364,-0.07343358198321852
-0.27113119891479165,-0.07858933457635704,-0.08362843334445492
-0.31318091081817584,-0.0859858036083382,-0.09287317649972343
-0.356959908531122,-0.09241273930558003,-0.10106381499490207
-0.39160830499733434,-0.09773749690274705,-0.1079888831628385
-0.425927500440781,-0.1018667333323889,-0.11348807131742009
-0.45746707874489423,-0.10479997787302707,-0.1175851435022552
-0.4825750451622927,-0.10659265906778911,-0.12041015406693065
-0.5060832475226681,-0.10734348829021857,-0.12202292569457314
-0.5108242513671073,-0.10718646955473358,-0.12254216021825197
-0.5267465358737307,-0.10629048946595702,-0.12213508075623702
